ProcessDataID	CodeName	cathodeMass																										
845056	QA_56_9	19.295034																										
1005241	QA_83_9	19.074474																										
930820	QA_72_4	18.506274																										
868867	QA_65_6	29.22264																										
1001056	QA_77_2	18.439984																										
1014069	QA_89_11	NULL																										
835831	QA_51_8	18.705144																										
1042780	QA_103_2	18.743024																										
1041288	QA_106_14	18.165354																										
1010970	QA_87_6	17.938074																										
848149	QA_63_8	19.046064																										
231535	QA_12_10	28.23486																										
848244	QA_58_11	19.247184																										
1025768	QA_96_12	18.506274																										
212282	QA_6_8	28.1664																										
1048827	QA_111_14	18.913484																										
1022062	QA_92_4	18.326344																										
212234	QA_1_8	28.02948																										
835671	QA_52_8	19.180194																										
871042	QA_69_9	-12.04896																										
1048737	QA_111_5	18.752494																										
1032081	QA_100_6	18.326344																										
185141	QA_2_14	28.04904																										
1014094	QA_89_16	NULL																										
231733	QA_14_12	28.4109																										
213989	QA_8_16	28.28376																										
871002	QA_69_1	28.7043																										
844986	QA_54_11	19.457724																										
212306	QA_4_15	28.19574																										
868862	QA_65_5	29.26176																										
185012	QA_1_4	28.18596																										
844886	QA_53_7	18.809314																										
997852	QA_79_10	18.099064																										
835706	QA_52_15	18.768684																										
845001	QA_54_14	19.763964																										
1012930	QA_85_11	18.042244																										
835801	QA_51_2	18.477864																										
213782	QA_9_11	28.39134																										
997647	QA_75_1	18.231644																										
211606	QA_5_3	28.34244																										
212336	QA_7_1	28.17618																										
1040913	QA_104_10	18.118004																										
1042395	QA_105_16	18.042244																										
1009734	QA_82_13	18.932424																										
994613	QA_74_15	18.118004																										
1011005	QA_87_2	18.231644																										
849237	QA_60_5	19.610844																										
1040828	QA_104_13	18.118004																										
212252	QA_6_13	28.22508																										
231616	QA_13_6	28.43046																										
185171	QA_2_9	28.28376																										
212216	QA_1_2	27.91212																										
835861	QA_51_14	18.496804																										
848249	QA_58_12	19.429014																										
870152	QA_68_7	28.84122																										
1022057	QA_92_13	18.667264																										
997787	QA_78_13	18.184294																										
1032661	QA_102_9	18.392634																										
909372	QA_71_11	18.809314																										
231802	QA_11_4	28.3131																										
1032556	QA_102_1	18.288464																										
1032581	QA_102_16	18.061184																										
1025728	QA_96_3	18.070654																										
870177	QA_68_12	-12.04896																										
845021	QA_56_2	19.381164																										
997822	QA_79_4	17.975954																										
931085	QA_73_9	18.629384																										
868892	QA_65_11	-12.04896																										
231754	QA_14_4	28.10772																										
869177	QA_67_4	27.85344																										
213779	QA_9_10	28.17618																										
869172	QA_67_3	28.57716																										
997817	QA_79_3	18.108534																										
998346	QA_81_9	18.004364																										
994583	QA_74_9	18.136944																										
995318	QA_80_12	18.297934																										
212375	QA_7_7	28.1175																										
849538	QA_61_12	19.515144																										
1005251	QA_83_11	18.979774																										
845026	QA_56_3	19.620414																										
231745	QA_14_16	28.2153																										
1010875	QA_86_6	18.297934																										
869297	QA_66_12	-12.04896																										
1014064	QA_89_10	NULL																										
998336	QA_81_7	17.947544																										
849503	QA_61_5	19.897944																										
994578	QA_74_8	18.449454																										
184982	QA_1_1	28.00014																										
1032101	QA_100_7	18.032774																										
869267	QA_66_6	28.81188																										
869167	QA_67_2	28.4598																										
211615	QA_5_6	28.5087																										
1014184	QA_90_3	18.023304																										
231778	QA_11_11	28.18596																										
869307	QA_66_14	-12.04896																										
1022462	QA_95_14	18.146414																										
1032116	QA_100_8	18.373694																										
1012645	QA_84_14	18.061184																										
1001071	QA_77_5	18.184294																										
1010905	QA_87_5	18.203234																										
1010885	QA_86_16	18.392634																										
1032141	QA_100_4	18.544154																										
1035671	QA_101_16	18.354754																										
1048202	QA_110_13	18.894544																										
212321	QA_4_5	27.86322																										
1048857	QA_111_11	18.894544																										
1048357	QA_109_2	18.780904																										
845011	QA_54_16	19.228044																										
1005226	QA_83_6	18.856664																										
1005231	QA_83_7	18.733554																										
212342	QA_7_11	28.5087																										
1041308	QA_106_2	18.392634																										
212249	QA_6_12	28.37178																										
1042755	QA_103_4	18.326344																										
185027	QA_1_9	28.20552																										
848999	QA_57_5	19.102884																										
212339	QA_7_10	28.1664																										
1010860	QA_86_9	18.335814																										
870052	QA_70_8	29.01726																										
849034	QA_57_12	18.676734																										
214001	QA_8_3	28.46958																										
849064	QA_57_2	18.828254																										
1005271	QA_83_15	19.055534																										
1025708	QA_96_1	18.061184																										
1022122	QA_94_9	18.260054																										
1041303	QA_106_15	18.269524																										
1024423	QA_93_14	18.449454																										
1022457	QA_95_3	18.099064																										
1024403	QA_93_11	18.487334																										
231607	QA_13_3	28.27398																										
849232	QA_60_4	19.582134																										
212267	QA_6_3	28.3131																										
870162	QA_68_9	-12.04896																										
997682	QA_75_8	17.890724																										
848129	QA_63_4	19.074474																										
1042410	QA_105_14	18.345284																										
1022422	QA_95_7	18.297934																										
870127	QA_68_2	28.4598																										
997792	QA_78_14	18.193764																										
848259	QA_58_14	19.170624																										
185159	QA_2_5	28.17618																										
1005201	QA_83_1	18.553624																										
997687	QA_75_9	17.994894																										
212255	QA_6_14	28.45002																										
1040813	QA_104_16	18.373694																										
1012890	QA_85_5	18.004364																										
848124	QA_63_3	18.875604																										
870157	QA_68_8	28.33266																										
995323	QA_80_13	18.288464																										
1024358	QA_93_15	18.402104																										
849069	QA_57_3	18.269524																										
1048172	QA_110_14	18.771434																										
1025758	QA_96_2	18.108534																										
1000821	QA_76_3	17.957014																										
185045	QA_3_12	28.07838																										
1012685	QA_84_7	17.957014																										
849074	QA_57_4	18.733554																										
1024348	QA_93_5	18.458924																										
1048352	QA_109_15	18.695674																										
1009414	QA_82_14	18.686204																										
231763	QA_14_7	28.4109																										
212378	QA_7_8	28.37178																										
844916	QA_53_13	18.837724																										
231724	QA_14_1	28.15662																										
848044	QA_62_3	18.913484																										
997802	QA_78_16	18.174824																										
1001101	QA_77_11	17.975954																										
909377	QA_71_12	18.866134																										
871007	QA_69_2	28.93902																										
1048217	QA_110_10	19.150234																										
995338	QA_80_16	18.174824																										
870092	QA_70_12	-12.04896																										
1022017	QA_92_6	18.449454																										
844911	QA_53_12	18.790374																										
231781	QA_11_12	28.18596																										
1048197	QA_110_8	19.102884																										
1010965	QA_87_1	18.345284																										
848074	QA_62_9	18.165354																										
998341	QA_81_8	18.099064																										
231598	QA_13_15	28.28376																										
1011045	QA_87_8	18.335814																										
1025733	QA_96_8	18.525214																										
849456	QA_59_16	19.218474																										
212219	QA_1_3	28.09794																										
835851	QA_51_12	18.629384																										
212213	QA_1_16	27.94146																										
1032576	QA_102_7	18.042244																										
212330	QA_4_8	28.00014																										
1009780	QA_82_11	19.131294																										
1042810	QA_103_16	18.326344																										
212192	QA_1_1	28.00014																										
870082	QA_70_11	-12.04896																										
1042375	QA_105_13	18.297934																										
1005266	QA_83_14	18.818784																										
871077	QA_69_16	-12.04896																										
1022447	QA_95_4	18.449454																										
849451	QA_59_9	19.314174																										
844926	QA_53_15	19.046064																										
231538	QA_12_11	28.34244																										
212309	QA_4_16	28.2153																										
1012710	QA_84_16	18.250584																										
1035631	QA_101_8	18.458924																										
1025890	QA_97_8	18.487334																										
231610	QA_13_4	28.25442																										
849548	QA_61_2	19.524714																										
1010915	QA_87_15	17.833904																										
1022417	QA_95_2	18.345284																										
848084	QA_62_11	18.761964																										
1035621	QA_101_14	18.165354																										
931055	QA_73_3	18.638854																										
213968	QA_8_1	28.2153																										
848174	QA_63_13	18.913484																										
1010895	QA_86_10	18.629384																										
997722	QA_75_16	18.260054																										
931060	QA_73_4	18.743024																										
214028	QA_8_7	28.19574																										
871047	QA_69_10	-12.04896																										
212372	QA_7_6	28.25442																										
848134	QA_63_5	19.036594																										
1012695	QA_84_1	18.582034																										
228767	QA_10_13	28.40112																										
212333	QA_4_9	28.0197																										
1042365	QA_105_3	17.975954																										
214043	QA_8_9	28.22508																										
998306	QA_81_1	18.212704																										
1001096	QA_77_10	18.241114																										
185138	QA_2_13	28.0197																										
1000816	QA_76_2	18.316874																										
211645	QA_5_16	28.13706																										
1032571	QA_102_11	18.004364																										
909302	QA_71_3	18.856664																										
213974	QA_8_11	28.32288																										
870182	QA_68_13	-12.04896																										
1024388	QA_93_12	18.657794																										
844811	QA_55_8	18.752494																										
1032146	QA_100_9	18.307404																										
228770	QA_10_14	28.4598																										
1048787	QA_111_3	18.904014																										
1022092	QA_94_5	18.004364																										
1012690	QA_84_12	18.297934																										
997712	QA_75_14	18.260054																										
844831	QA_55_12	18.885074																										
1035596	QA_101_2	18.089594																										
1014109	QA_89_4	18.127474																										
848219	QA_58_6	19.362024																										
228791	QA_10_6	28.25442																										
213794	QA_9_15	28.19574																										
1014104	QA_89_3	17.957014																										
212288	QA_4_1	27.65784																										
868917	QA_65_16	-12.04896																										
869162	QA_67_1	28.82166																										
994553	QA_74_3	18.373694																										
213818	QA_9_8	28.25442																										
1048852	QA_111_6	18.515744																										
844836	QA_55_13	18.828254																										
844846	QA_55_15	18.809314																										
228782	QA_10_3	28.25442																										
231571	QA_12_7	28.48914																										
1022072	QA_92_14	18.676734																										
213806	QA_9_4	28.56738																										
870057	QA_70_2	28.91946																										
231748	QA_14_2	28.22508																										
870117	QA_70_16	-12.04896																										
213809	QA_9_5	28.5576																										
